Timestamp,SF ID of the candidate whose project is being reviewed,GitHub repo link under review,Is the GitHub link provided proper?,Folder structure is inline with the MiniProject template,"GitHub actions are added and are working for Build (Windows + Linux), Analysis, Unit testing",Clone and build works on Linux and Windows,High level and low level requirements are captured clearly with SWAT analysis,Design of the project is captured clearly with UML diagrams,Test plan captures Integration and unit test plans to test all the requirements,Multi function and Mutifile Approach is followed in the implementation of code,Number of Unit test cases written in total,Code is commented in Doxygen style and can generate document,"Makefile is written to build (Windows +Linux), Test unit test cases, Analyze(Static + Dynamic), Code Coverage ",Code is implemented using best practices [Comments are added for each function],"Code is implemented using best practices [Meaningful names for variables, functions and files]",Code is implemented using best practices [Dynamic memory is freed after use],"Code is implemented using best practices [Typedef used for enums, structures and function pointers]",Code is implemented using best practices [Structures used are passed to functions by pointers],Code is implemented using best practices [Use of function pointers],Code is implemented using best practices [Unit test cases to test all the written code - Code coverage],Overall Concepts/Elements/Components that you like about this project,Any other comments,Overall Concepts/Elements/Components that needs improvement in this project
14-04-2021 18:10,264662,https://github.com/shine-jasmine/MINIPROJECTLTTS.git,Yes,No,No,No,No,No,No,No,0,No,No,No,Need improvement,Need improvement,Need improvement,Need improvement,Need improvement,Need improvement,The src file return it is excellent,,It needs to improvement and i think you forgotten to push your repo.
14-04-2021 18:12,256626,https://github.com/mihiradarsh/Mini-Project.git,Yes,No,No,No,No,No,No,No,0,No,No,No,No,No,No,No,No,No,There is nothing to review please add your file in your repo.,,There is nothing to review please add your file in your repo.
14-04-2021 18:15,255910,https://github.com/hyp3rfleX/MiniProject_Template/tree/master/MiniProject_C,No,Yes,No,No,No,No,Yes,Yes,0,Yes,Yes,Need improvement,Need improvement,Implemented correctly,Need improvement,Implemented correctly,Need improvement,Implemented correctly,The implementation part was excellent and you need to work on SDLC.,,The implementation part was excellent and you need to work on SDLC.
14-04-2021 18:23,265057,https://github.com/debasish2110/LTTS-C-MiniProject.git,Yes,Some folders are missing,Yes,Yes,No,No,No,Yes,0,Yes,Yes,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,even if there is only implementation folder right this guy is working hard to implement the code.,,he should add other folders even if he is going to add content to them later.
14-04-2021 18:25,265109,https://github.com/subhamkhd/Mini_Project_LTTS_Step_in.git,No,No,No,No,No,No,No,No,0,No,No,No,No,No,No,No,No,No,nothing there,,everything should be added
14-04-2021 18:30,260735,https://github.com/VaibhavGaur56789/LnT_Quiz_miniproject/tree/main/1_Requirements,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,Yes,Yes,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,everything is upto mark even i got some ideas that how i can improve my project.,,multifile approach needs some improvement
14-04-2021 18:37,265046,https://github.com/DasariVenkataSandeep/Sandeep1525.git,No,Some folders are missing,Yes,Yes,No,No,No,No,0,No,No,No,No,No,No,No,No,No,I am not able to find anything on the repo link except one readme file which contains his name and SF ID,,I am not able to find anything on the repo link except one readme file which contains his name and SF ID
14-04-2021 18:47,258009,https://github.com/bgvmysore/miniproject_stepin.git,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10,Yes,Yes,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Everything has implemented properly,None,None
14-04-2021 18:58,261625,https://github.com/Vyaskaushik-vyas/261625-Project.git,Yes,Yes,No,No,Yes,Yes,No,Yes,7,Yes,No,Implemented correctly,Implemented correctly,Need improvement,Need improvement,Need improvement,Need improvement,Need improvement,The concept of the project is innovative,,"Makefile,Unit testing,Build,cpp-check,Valgrind"
14-04-2021 19:00,256139,https://github.com/ARJ051097/MiniProject-LTTS-256139.git,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2 test cases ,Yes,Yes,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,It is a very unique concept and it makes me remember how we use to play FLAMES with our classmates in school,It is an excellent project over all,I think the structure could have been also defined in the header file and not in main
14-04-2021 19:02,258358,https://github.com/cooldude98/tic_tac_toe_2_players,Yes,Yes,Yes,Errors during compilation,Yes,Yes,Yes,Yes,6,Yes,Yes,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,efficiency ,,na 
14-04-2021 19:02,259064,https://github.com/varun-259064/miniproject_259064.git,Yes,No,No,No,No,No,No,No,0,No,No,No,No,No,No,No,No,No,No work till now(14 th April 2021/ 06:59 pm ) .Only Repo link is provided.,NA,No work till now to tell improvement in this project .
14-04-2021 19:03,267243,https://github.com/govindbansal1309/mini-project.git,Yes,Yes,No,No,Yes,No,No,Yes,0,Yes,No,Implemented correctly,Implemented correctly,Need improvement,Need improvement,Need improvement,Need improvement,Need improvement,The concept is nice,,"Makefile, Unit Testing ,Build,cpp-check,Valgrind"
14-04-2021 19:04,263680,https://github.com/srividyaghanta534/LnT_MiniProject.git,Yes,Yes,Errors are shown,Makefile to build on both OS is missing,Yes,Yes,Needs improvements,No,4,Yes,Need improvement,Need improvement,Implemented correctly,Implemented correctly,No,No,No,No,Project is still in intial stage,,"Multifile concepts need to be used,project is yet pending."
14-04-2021 19:06,255919,https://github.com/Gobikumaar-Sivagnanam/Miniproject_C.git,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9 test cases,Yes,Yes,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,It is very well organized ,Excellent idea,Everything is good
14-04-2021 19:10,259899,https://github.com/nuPURohit/LTTS_MiniProject_StepIn.git,Yes,Yes,Yes,Yes,Yes,No,Needs improvements,Yes,0,Yes,No,Implemented correctly,Implemented correctly,Need improvement,Need improvement,Need improvement,Need improvement,Need improvement,The concept is innovative,,Makefile
